wavelength flux
4750.1875 80373.3
4751.4375 73411.59
4752.6875 73367.39
4753.9375 73327.06
4755.1875 72772.73
4756.4375 74234.74
4757.6875 74197.88
4758.9375 71921.43
4760.1875 75137.39
4761.4375 74031.3
4762.6875 72610.85
4763.9375 74247.71
4765.1875 72211.3
4766.4375 73586.93
4767.6875 74139.24
4768.9375 72097.1
4770.1875 72757.83
4771.4375 74729.13
4772.6875 73543.11
4773.9375 71523.11
4775.1875 71727.14
4776.4375 69582.92
4777.6875 70580.2
4778.9375 71444.65
4780.1875 72304.43
4781.4375 72168.75
4782.6875 71537.52
4783.9375 70043.03
4785.1875 68144.15
4786.4375 67424.37
4787.6875 68143.25
4788.9375 68443.99
4790.1875 71813.61
4791.4375 69121.76
4792.6875 69397.59
4793.9375 71326.88
4795.1875 71027.76
4796.4375 70881.41
4797.6875 69628.13
4798.9375 70343.42
4800.1875 70421.8
4801.4375 67605.78
4802.6875 69078.12
4803.9375 70653.36
4805.1875 68153.98
4806.4375 68638.65
4807.6875 68658.02
4808.9375 69005.5
4810.1875 68633.61
4811.4375 68246.62
4812.6875 69406.51
4813.9375 71202.39
4815.1875 70433.33
4816.4375 69678.9
4817.6875 69884.84
4818.9375 68369.53
4820.1875 69839.56
4821.4375 68215.02
4822.6875 67917.95
4823.9375 67119.39
4825.1875 68792.76
4826.4375 68608.78
4827.6875 67074.6
4828.9375 66306.23
4830.1875 67585.6
4831.4375 68383.25
4832.6875 67843.41
4833.9375 68104.4
4835.1875 68184.73
4836.4375 69948.07
4837.6875 67521.72
4838.9375 67227.22
4840.1875 68707.05
4841.4375 66990.32
4842.6875 65842.55
4843.9375 68299.7
4845.1875 65381.71
4846.4375 65591.94
4847.6875 67739.2
4848.9375 67074.81
4850.1875 68273.36
4851.4375 65150.32
4852.6875 67310.06
4853.9375 67316.69
4855.1875 67288.46
4856.4375 67751.74
4857.6875 66615.86
4858.9375 66770.86
4860.1875 64822.87
4861.4375 65830.07
4862.6875 64039.55
4863.9375 64002.45
4865.1875 64863.5
4866.4375 66252.13
4867.6875 65200.12
4868.9375 64936.0
4870.1875 64252.56
4871.4375 64627.28
4872.6875 63723.15
4873.9375 65403.22
4875.1875 62905.64
4876.4375 63021.98
4877.6875 61971.23
4878.9375 62731.0
4880.1875 86407.97
4881.4375 286195.74
4882.6875 608032.41
4883.9375 547297.88
4885.1875 213912.75
4886.4375 76842.56
4887.6875 61967.21
4888.9375 63403.04
4890.1875 62502.52
